age,gender,security_no,region_category,membership_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback
35,F,E36MICI,City,No Membership,26-08-2016,?,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,2:55:28,5,535.73,9103.39,12,920.2291236,Yes,No,Yes,Solved,Poor Customer Service
10,F,F9QYWQK,City,Basic Membership,07-07-2015,Yes,CID4992,Credit/Debit Card Offers,Smartphone,Mobile_Data,20:17:10,20,34.39,5932.66,32.87229351,604.56,No,Yes,Yes,Solved in Follow-up,Poor Customer Service
50,M,2DTOVGO,Town,Platinum Membership,10-06-2016,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,7:13:39,9,291.3,83386.22,16,761.6,Yes,No,Yes,Solved in Follow-up,User Friendly Website
32,M,6AWQ5IZ,,Silver Membership,13-01-2016,Yes,xxxxxxxx,Credit/Debit Card Offers,Both,Mobile_Data,14:03:43,6,580.27,39687.61,Error,715.01,Yes,Yes,No,Not Applicable,Poor Customer Service
18,F,Q7PHSCX,,Platinum Membership,12-11-2016,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,15:15:19,8,31.62,74146.39,7,724.61,Yes,No,Yes,Solved,Reasonable Price
28,M,CGDUS0M,,No Membership,02-09-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,16:03:05,13,158.31,21084.27,10,613.02,No,Yes,Yes,Solved,Poor Website
18,F,BZZ2VSC,City,Basic Membership,10-02-2015,Yes,CID49645,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,18:49:59,23,111.65,32976.17,26,652.21,Yes,No,No,Not Applicable,Poor Customer Service
26,F,ZGFT3JF,Town,No Membership,24-10-2017,No,xxxxxxxx,Gift Vouchers/Coupons,?,Mobile_Data,14:12:21,22,226.92,9136.25,0.739645817,701.13,No,Yes,Yes,Solved in Follow-up,Poor Website
10,F,74PR94Q,Town,Basic Membership,12-12-2016,?,CID25125,Without Offers,Desktop,Fiber_Optic,8:48:51,13,-810.5650548,37628.96,29,,Yes,No,Yes,No Information Available,No reason specified
39,M,9HNDMQV,City,No Membership,24-03-2017,?,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,23:52:16,6,148.4,24727.87,13,,Yes,No,No,Not Applicable,Poor Product Quality
52,M,NY2T0DN,Town,No Membership,25-05-2017,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,3:34:18,10,156.7,29405.3,21,681.78,Yes,No,Yes,Solved in Follow-up,Too many ads
61,M,JKWZRKT,City,Platinum Membership,06-12-2015,Yes,CID28241,Credit/Debit Card Offers,Desktop,Wi-Fi,9:37:41,7,55.14,8123.31,25,790.91,No,Yes,No,Not Applicable,Poor Website
36,F,0B9A218,Town,Silver Membership,31-10-2016,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,20:32:53,14,139.59,38373.84,20,,Yes,No,Yes,Solved in Follow-up,Too many ads
59,M,TGGMKQU,Town,No Membership,09-03-2017,Yes,CID34619,Without Offers,Desktop,Wi-Fi,6:11:52,8,85.34,38716.94,27,588.28,Yes,No,No,Not Applicable,Poor Product Quality
27,F,MCCAGGS,,No Membership,13-08-2015,Yes,xxxxxxxx,Without Offers,?,Mobile_Data,8:06:55,17,820.58,43694.79,15,510.69,Yes,No,Yes,Solved in Follow-up,Too many ads
36,F,HTTOEQX,Town,Silver Membership,14-06-2016,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,14:50:46,11,183.99,19479.45,17,687.97,No,Yes,Yes,Solved,Poor Customer Service
16,F,6ILIU1Z,City,Gold Membership,08-11-2015,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,21:25:49,-999,36.03,25147.94,Error,702.28,Yes,No,Yes,Solved in Follow-up,Poor Customer Service
48,M,Y7HSXKW,City,Gold Membership,08-07-2016,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,1:19:28,7,361.0,26123.14,5,,Yes,No,No,Not Applicable,Poor Customer Service
62,F,338X9DU,Town,Basic Membership,14-09-2017,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,2:31:07,20,103.42,36445.77,Error,663.11,Yes,No,No,Not Applicable,Poor Product Quality
62,F,F7J93U5,Town,Gold Membership,19-12-2015,Yes,CID5224,Without Offers,Smartphone,Mobile_Data,21:40:08,9,96.21,25996.32,17,783.78,Yes,No,Yes,Unsolved,Too many ads
34,F,SUPS5LQ,Town,Basic Membership,29-07-2016,No,xxxxxxxx,Credit/Debit Card Offers,?,Fiber_Optic,13:19:34,15,185.21,31743.72,Error,584.78,Yes,No,No,Not Applicable,Too many ads
11,F,KKTV79S,Village,Gold Membership,14-09-2017,Yes,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,5:50:08,5,191.51,4143.58,26,889.8178979,No,Yes,Yes,Solved,Poor Website
54,F,BWNLY9T,City,Silver Membership,02-03-2015,?,CID40368,Without Offers,Smartphone,Fiber_Optic,20:09:22,3,522.54,49405.61,5,654.57,Yes,No,Yes,Unsolved,Poor Product Quality
22,F,JL5EPA1,Town,Silver Membership,27-07-2016,Yes,CID27326,Gift Vouchers/Coupons,Smartphone,Wi-Fi,21:13:14,10,523.78,76654.95,13,720.82,Yes,No,Yes,No Information Available,Reasonable Price
60,M,C4CSQ2X,Town,Silver Membership,09-05-2016,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,21:47:32,15,146.02,990.4,26,210.9485273,No,Yes,Yes,Solved in Follow-up,Too many ads
24,M,DS507HY,Town,Gold Membership,07-06-2016,?,CID41342,Gift Vouchers/Coupons,Desktop,Mobile_Data,18:02:39,21,49.35,4718.7,27,610.84,No,Yes,Yes,Solved in Follow-up,Poor Product Quality
38,M,DE7VSXX,City,Basic Membership,23-03-2016,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,19:37:14,7,38.03,24897.66,22,570.89,Yes,No,Yes,Unsolved,Too many ads
57,F,DJA4D4M,City,No Membership,06-02-2015,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,17:34:51,12,473.08,12361.74,11,,No,Yes,Yes,Unsolved,Poor Website
54,F,5VRD1OF,City,Silver Membership,10-03-2016,Yes,CID30749,Gift Vouchers/Coupons,Desktop,Wi-Fi,6:14:21,7,733.43,14511.59,10,,Yes,Yes,No,Not Applicable,Reasonable Price
50,F,FB4WPJR,City,Premium Membership,12-10-2017,?,CID10198,Credit/Debit Card Offers,Desktop,Wi-Fi,7:41:15,8,43.46,34059.08,16,736.28,Yes,No,Yes,Solved in Follow-up,Poor Customer Service
10,M,50FBW8H,City,No Membership,13-01-2015,?,CID3699,Gift Vouchers/Coupons,Smartphone,Mobile_Data,9:58:56,7,97.59,42504.97,18,550.21,Yes,No,Yes,Solved in Follow-up,Too many ads
34,F,8AD7S8E,City,Premium Membership,17-07-2015,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,7:30:42,14,397.78,21158.03,7,717.21,Yes,No,Yes,No Information Available,Too many ads
57,M,Q0SAAH5,City,Gold Membership,03-12-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Both,Mobile_Data,18:35:06,8,241.97,62564.71,3,479.7320242,No,Yes,No,Not Applicable,Reasonable Price
33,Unknown,AKDCP72,Town,Premium Membership,23-10-2017,Yes,CID37821,Gift Vouchers/Coupons,Desktop,Wi-Fi,17:48:24,6,537.82,2585.85,21,1092.297002,No,Yes,Yes,No Information Available,Poor Customer Service
28,F,7D9EO0Y,City,Platinum Membership,19-04-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,17:02:33,6,343.92,30333.48,8,714.12,Yes,Yes,No,Not Applicable,Poor Product Quality
41,F,BZ3EGVB,City,No Membership,28-07-2016,Yes,CID60011,Credit/Debit Card Offers,Desktop,Fiber_Optic,10:38:02,-999,160.97,43353.56,Error,691.21,No,Yes,No,Not Applicable,Poor Product Quality
38,M,M6PEV7F,Town,Basic Membership,29-01-2015,Yes,CID53135,Credit/Debit Card Offers,Smartphone,Wi-Fi,8:55:28,9,56.57,20447.84,21,605.53,Yes,No,Yes,No Information Available,Poor Website
53,M,SLM9OYU,City,Basic Membership,12-12-2016,Yes,CID34749,Gift Vouchers/Coupons,Both,Fiber_Optic,1:30:12,10,440.53,24033.97,Error,579.78,Yes,No,Yes,Solved,Poor Customer Service
64,F,4LY3RAJ,Town,No Membership,12-07-2017,?,CID16636,Without Offers,Both,Mobile_Data,9:39:22,16,336.37,26084.14,6,-170.6662545,Yes,No,Yes,Unsolved,Poor Product Quality
57,M,DT4GM8Z,City,Premium Membership,11-12-2015,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,21:40:52,18,158.81,25266.74,27,797.53,Yes,No,No,Not Applicable,Too many ads
61,M,Z9JK5B0,Town,Basic Membership,05-10-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,17:50:36,16,191.64,43645.31,18,551.26,No,Yes,Yes,Unsolved,Poor Customer Service
13,F,GJ4KRHA,City,Premium Membership,16-11-2017,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,4:17:58,-999,217.16,85446.53,14,752.3,Yes,No,Yes,Unsolved,Reasonable Price
39,M,2Z4P8ZS,Town,Silver Membership,06-09-2015,No,xxxxxxxx,Without Offers,Both,Wi-Fi,0:00:46,22,-556.5807173,5444.94,-9.835132253,750.96,Yes,Yes,No,Not Applicable,No reason specified
33,M,C3AK5UH,Town,Premium Membership,16-08-2016,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,23:44:00,-999,438.11,31721.61,5,731.84,Yes,No,No,Not Applicable,Poor Customer Service
18,M,AUXTGNZ,City,Premium Membership,26-09-2015,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,5:25:49,22,47.27,64022.36,10,829.62,Yes,No,Yes,No Information Available,Quality Customer Care
42,F,OU654PA,Town,No Membership,17-02-2016,No,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,18:17:29,10,141.55,20923.19,25,696.38,No,Yes,No,Not Applicable,Too many ads
56,F,P7DQFHH,City,Platinum Membership,03-09-2016,?,CID24322,Gift Vouchers/Coupons,Desktop,Fiber_Optic,7:35:29,16,740.0,27953.05,7,751.99,Yes,No,Yes,Unsolved,User Friendly Website
25,M,QPBV8XC,Town,Basic Membership,26-06-2017,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,23:48:33,3,133.69,18555.26,15,617.04,No,Yes,Yes,Unsolved,No reason specified
58,M,BDWKLNO,Town,Silver Membership,27-09-2016,Yes,CID33115,Credit/Debit Card Offers,Desktop,Wi-Fi,13:16:33,15,-916.2917822,4825.02,Error,604.29,Yes,No,Yes,Unsolved,Too many ads
31,M,A3F6KDR,,Silver Membership,18-06-2016,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,13:02:25,20,191.68,25363.45,16,714.93,No,Yes,No,Not Applicable,Reasonable Price
44,M,YASKUL6,City,Gold Membership,13-03-2017,?,CID39768,Credit/Debit Card Offers,Smartphone,Wi-Fi,16:45:26,12,349.42,25117.89,28,759.7,No,Yes,No,Not Applicable,Too many ads
50,F,YH9ZYFL,City,Gold Membership,15-06-2016,Yes,CID2751,Without Offers,Desktop,Fiber_Optic,14:22:39,20,198.19,20710.0,10,,No,Yes,Yes,Unsolved,Poor Product Quality
24,M,F4Z2V7P,Village,Silver Membership,07-05-2015,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,8:33:29,19,30.26,19264.37,Error,683.07,Yes,No,No,Not Applicable,No reason specified
